atmospheric_rain(mm/s) surface_runoff(mm/s) subsurface_runoff(mm/s) infiltration(mm/s) interception(mm/s) ground_evaporation(mm/s) vegetation_evaporation(mm/s) vegetation_transpiration(mm/s) heat_flux_into_soil(W/m^2)
2.08333e-05 3.93612e-06 8.48821e-05 9.43224e-06 4.73942e-06 2.70151e-06 4.73942e-06 2.39565e-05 1.90283e+00
0.00000e+00 0.00000e+00 7.91606e-05 -3.17677e-06 0.00000e+00 3.16273e-06 -1.98516e-24 2.49499e-05 -7.30199e-01
3.19444e-04 7.27776e-05 7.31344e-05 1.90193e-04 7.26699e-05 2.36071e-06 1.18492e-05 1.87675e-05 -5.11635e-01
1.96759e-04 4.15811e-05 6.68964e-05 1.56895e-04 4.47499e-05 1.69371e-06 2.74188e-05 1.08038e-05 -1.18904e+00
1.85185e-05 3.40034e-06 6.30791e-05 1.84022e-05 4.21075e-06 2.17788e-06 4.21075e-06 1.86016e-05 -1.27053e+00
7.63889e-05 1.51210e-05 6.28269e-05 4.79257e-05 1.73652e-05 1.95912e-06 1.27284e-05 1.70063e-05 7.59457e-01
2.08333e-05 3.82525e-06 6.29614e-05 1.02474e-05 4.73484e-06 2.17474e-06 4.73484e-06 1.87138e-05 -5.29813e-01
2.31481e-06 4.24738e-07 6.18119e-05 -1.00494e-06 5.25967e-07 2.32724e-06 5.25967e-07 1.86119e-05 8.70406e-02
6.94444e-05 1.40295e-05 5.91879e-05 4.27968e-05 1.57752e-05 2.62314e-06 9.96416e-06 1.88322e-05 9.41536e-02
3.70370e-05 6.71649e-06 5.55104e-05 1.93728e-05 8.41141e-06 2.43882e-06 8.39899e-06 1.66112e-05 -6.40746e-01
1.15741e-05 2.08808e-06 5.16031e-05 4.98966e-06 2.62793e-06 1.65869e-06 2.62793e-06 2.13715e-05 2.43798e+00
3.47222e-05 6.21281e-06 4.78994e-05 1.84140e-05 7.88188e-06 2.14766e-06 7.88188e-06 1.74069e-05 -1.04621e+00
4.62963e-06 8.21978e-07 4.44287e-05 7.55229e-07 1.05066e-06 1.95274e-06 1.05066e-06 1.84457e-05 -1.07020e-01
1.03240e-04 1.96686e-05 4.11730e-05 6.45047e-05 2.34238e-05 1.94014e-06 1.67922e-05 1.28800e-05 1.71409e+00
9.64729e-05 1.68604e-05 3.81674e-05 5.59094e-05 2.18831e-05 1.67304e-06 2.18426e-05 1.08508e-05 -9.08828e-02
9.64729e-05 1.67484e-05 3.55861e-05 5.61093e-05 2.18777e-05 1.62359e-06 2.18206e-05 1.04340e-05 4.37880e-01
9.64729e-05 1.66493e-05 3.35841e-05 5.62199e-05 2.18724e-05 1.64065e-06 2.18369e-05 1.14796e-05 9.21754e-04
1.05559e-04 1.81370e-05 3.21480e-05 6.16864e-05 2.39263e-05 1.77746e-06 2.24738e-05 9.70680e-06 -3.85478e-01
6.42361e-05 1.13321e-05 3.11966e-05 3.77986e-05 1.45563e-05 1.99867e-06 1.35823e-05 1.56016e-05 -2.26526e+00
6.42361e-05 1.13011e-05 3.06140e-05 3.74452e-05 1.45526e-05 2.37289e-06 1.22501e-05 1.78330e-05 -2.14604e+00
6.42361e-05 1.13844e-05 3.02251e-05 3.83394e-05 1.45489e-05 1.82850e-06 1.34449e-05 1.66852e-05 -9.76136e-01
6.42361e-05 1.12660e-05 2.98715e-05 3.74235e-05 1.45451e-05 2.38581e-06 1.28981e-05 1.70191e-05 -2.39398e+00
6.42361e-05 1.12841e-05 2.94820e-05 3.78488e-05 1.45413e-05 2.10078e-06 1.21281e-05 1.62489e-05 -2.33627e+00
6.42361e-05 1.13641e-05 2.90471e-05 3.86291e-05 1.45375e-05 1.58644e-06 1.37819e-05 1.80977e-05 2.26943e+00
6.42361e-05 1.12154e-05 2.85739e-05 3.75103e-05 1.45337e-05 2.34887e-06 1.28270e-05 1.74555e-05 -1.41632e+00
